,Hydro_Run-of-river_and_poundage_Res,Hydro_Water_Reservoir_Res,Other_Res
2016-01-20,28.409099976,24.379152339999997,14.950110002
2016-01-23,23.434200073000003,13.124710935000003,14.624789994
2016-01-24,22.091400024,9.746960449,14.497960007000001
2016-02-17,29.923699951,22.94266992,15.857820021000002
2016-02-20,26.828800049,13.463559572000001,14.780649994000001
2016-02-21,28.553699951,7.225440430000003,13.774950013
2016-03-16,29.018099976,36.35490136599999,14.489170044
2016-03-19,24.075200072999998,19.012299804999998,13.863340065000001
2016-03-20,23.439400024,15.261020385,14.163870025000001
2016-04-20,50.400199951,18.913320309999996,10.173859985
2016-04-23,52.358800049,12.324351073999999,11.876280045
2016-04-24,51.380600341999994,13.760580568999998,11.179560089999999
2016-05-18,53.797099976,38.09759961,10.502600036
2016-05-21,54.234099975999996,15.283399781,10.232370032999999
2016-05-22,56.896300049,13.443200989,10.088720000999999
2016-06-15,75.391300049,46.90580273,12.419180004
2016-06-18,68.50223998999999,49.46479956099999,11.055510116
2016-06-19,67.20808996599999,41.911220218,11.344300064
2016-07-20,70.503659912,22.003529299999997,10.718720169000001
2016-07-23,71.27022998,16.89031054,11.743549955
2016-07-24,64.156629883,14.633029295999997,10.740230064
2016-08-17,62.023229979999996,10.213810540000004,11.515130157
2016-08-20,60.856300293000004,1.9459594739999986,12.205240021
2016-08-21,56.278949951,6.730400880000001,11.039800018000001
2016-09-21,44.721030029,15.007621089999994,14.090399993999998
2016-09-24,32.754319945999995,5.070660155999999,13.538869949
2016-09-25,31.200900146000002,4.29602002,13.440929954
2016-10-19,27.160030029,13.260062500000004,14.185800018
2016-10-22,21.789429993000002,8.909640133,14.200999988000001
2016-10-23,20.688800049,8.339010249999998,12.818440033
2016-11-16,29.322449951,15.235642094,14.500989991
2016-11-19,34.372139893,6.721800298000002,14.320390015000001
2016-11-20,31.889591064,6.502180903999999,13.714950074
2016-12-21,22.053979979999998,30.437759760000006,14.49071003
2016-12-24,18.466220032,6.9878896489999995,13.000039978
2016-12-25,17.576880066,5.275700198999999,12.985640046
2017-01-18,21.7669001,31.51982000000001,14.00100998
2017-01-21,18.11623,22.779100999999997,13.93561999
2017-01-22,16.91429,12.504580999999995,13.45831001
2017-02-15,20.36183004,10.774009999999997,16.0305
2017-02-18,19.7491302,9.097160600000002,15.467140120000002
2017-02-19,17.890330000000002,7.414719999999999,14.92667003
2017-03-15,34.69701,15.051210999999995,15.07827
2017-03-18,37.2817401,2.6339910000000017,14.61353
2017-03-19,38.1507804,1.3806890000000003,14.04335998
2017-04-19,32.3671899,19.559769000000003,12.8174402
2017-04-22,27.46902,11.801009,15.549280229999999
2017-04-23,28.22033,10.437410300000002,11.52605002
2017-05-17,58.757850000000005,18.360789999999994,11.73307
2017-05-20,60.534250400000005,4.867312999999996,12.74092001
2017-05-21,54.11863,8.43851,11.90279003
2017-06-21,72.11463,18.20159600000001,13.079260099999999
2017-06-24,68.7368701,2.7286100000000033,13.722840000000001
2017-06-25,70.1679,-0.22278800000000487,13.345660030000001
2017-07-19,58.28211,12.793260000000004,11.15525021
2017-07-22,59.9658299,4.384819999999998,11.868660219999999
2017-07-23,56.7931501,-4.4636,12.463960029999999
2017-08-16,65.00792999999999,14.697460000000007,11.06328
2017-08-19,52.716360099999996,0.6616296999999989,12.036169999999998
